StepNo;Timing;BeatValue;FootPosition;FootWork;ActionUsed;BodyTurn
1;2;1;RF back;B flat;Bwd Walk;-
2;3;1;LF in place;B flat;Wt transfer in place;-
3;4;1/2;RF to side and slightly fwd;B flat;Cha Cha Cha Chasse RLR;-
4;&;1/2;LF half closed to RF;B flat;Cha Cha Cha Chasse RLR;-
5;1;1;RF to side and slightly fwd;B flat;Cha Cha Cha Chasse RLR;-
6;2;1;LF fwd OP on L side;B flat;Fwd Walk;-
7;3;1;RF back and slightly to side;B flat;Fwd Walk Turning;3/8 to L
8;4;1/2;LF back;T;Cha Cha Cha Lock LRL bwd;1/4 to L
9;&;1/2;RF crossed in front of LF;B flat;Cha Cha Cha Lock LRL bwd;1/4 to L
10;1;1;LF back;B flat;Cha Cha Cha Lock LRL bwd;1/4 to L
